trial_id,seed,cause,episode,mean_100_eval_at_stop,plot_path
trial_001,29,goal,1696,0.510600,results\collab_compet\run_20251228_145548\plots\evaluation_mean100_trial_001_seed_29.png
trial_002,29,goal,1628,0.506200,results\collab_compet\run_20251228_145548\plots\evaluation_mean100_trial_002_seed_29.png
trial_003,29,goal,1526,0.508600,results\collab_compet\run_20251228_145548\plots\evaluation_mean100_trial_003_seed_29.png
trial_004,29,episodes,3000,,results\collab_compet\run_20251228_145548\plots\evaluation_mean100_trial_004_seed_29.png
trial_005,29,goal,2461,0.515300,results\collab_compet\run_20251228_145548\plots\evaluation_mean100_trial_005_seed_29.png
trial_006,29,goal,2225,0.508000,results\collab_compet\run_20251228_145548\plots\evaluation_mean100_trial_006_seed_29.png
trial_007,29,episodes,3000,,results\collab_compet\run_20251228_145548\plots\evaluation_mean100_trial_007_seed_29.png
trial_008,29,episodes,3000,,results\collab_compet\run_20251228_145548\plots\evaluation_mean100_trial_008_seed_29.png
trial_009,29,goal,1872,0.514800,results\collab_compet\run_20251228_145548\plots\evaluation_mean100_trial_009_seed_29.png
trial_010,29,episodes,3000,,results\collab_compet\run_20251228_145548\plots\evaluation_mean100_trial_010_seed_29.png
